"instruction","match_string","sim__disasm_format","imm_type","rd_used","rd_regfile{params_pkg::regfile_sel_e|REGFILE_SEL_}","rs1_used","rs1_regfile{params_pkg::regfile_sel_e|REGFILE_SEL_}","rs2_used","rs2_regfile{params_pkg::regfile_sel_e|REGFILE_SEL_}","rs3_used","rs3_regfile{params_pkg::regfile_sel_e|REGFILE_SEL_}","fu_sel{fu_pkg::function_unit_e|FUNCTION_UNIT_}","alu_funct","alu_addy_funct","alu_op1_sel","alu_op2_sel","fpu_opcode{fpnew_pkg::operation_e}","fpu_op_modifier","fpu_op0_sel","fpu_op1_sel","fpu_op2_sel","'branch_cond","'wb_active","'wb_source","'barr_load","'barr_sync","'yield","'mem_active","'mem_loadstore","'mem_opsize","'mem_store_source","'mem_extendmode","'is_jalr","'is_lr","'is_sc","'is_wdone"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"'OP-type instructions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FNMSUB_S","?????_00_?????_?????_???_?????_10010","fnmsub.s $d, $1, $2, $3, $r","x",1,"F",1,"F",1,"F",1,"F","FPU","x","x","x","x","FNMSUB",0,"RS1","RS2","RS3","NEVER",1,"FPU",0,0,0,0,"x","x","x","x",0,0,0,0
"FNMADD_S","?????_00_?????_?????_???_?????_10011","fnmadd.s $d, $1, $2, $3, $r","x",1,"F",1,"F",1,"F",1,"F","FPU","x","x","x","x","FNMSUB",1,"RS1","RS2","RS3","NEVER",1,"FPU",0,0,0,0,"x","x","x","x",0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"'Floating DIVSQRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FDIV_S","0001100_?????_?????_???_?????_10100","fdiv.s $d, $1, $2. $r","x",1,"F",1,"F",1,"F",0,"x","FPU","x","x","x","x","DIV",0,"RS1","RS2","x","NEVER",1,"FPU",0,0,0,0,"x","x","x","x",0,0,0,0
"FSQRT_S","0101100_00000_?????_???_?????_10100","fsqrt.s $d, $1, $r","x",1,"F",1,"F",1,"F",0,"x","FPU","x","x","x","x","SQRT",0,"RS1","x","x","NEVER",1,"FPU",0,0,0,0,"x","x","x","x",0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"'Floating NONCOMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FMINMAX_S","0010100_?????_?????_00?_?????_10100","fminmax.s $d, $1, $2, $m","x",1,"F",1,"F",1,"F",0,"x","FPU","x","x","x","x","MINMAX",0,"RS1","RS2","x","NEVER",1,"FPU",0,0,0,0,"x","x","x","x",0,0,0,0
"FSGNJ_S","0010000_?????_?????_0??_?????_10100","fsgnj(n|x).s $d, $1, $2, $s","x",1,"F",1,"F",1,"F",0,"x","FPU","x","x","x","x","SGNJ",0,"RS1","RS2","x","NEVER",1,"FPU",0,0,0,0,"x","x","x","x",0,0,0,0
"FCMP_S","1010000_?????_?????_0??_?????_10100","fcmp.s $d, $1, $2, $c","x",1,"I",1,"F",1,"F",0,"x","FPU","x","x","x","x","CMP",0,"RS1","RS2","x","NEVER",1,"FPU",0,0,0,0,"x","x","x","x",0,0,0,0
"FCLASS_S","1110000_00000_?????_001_?????_10100","fclass.s $d, $1","x",1,"I",1,"F",0,"x",0,"x","FPU","x","x","x","x","CLASSIFY",0,"RS1","x","x","NEVER",1,"FPU",0,0,0,0,"x","x","x","x",0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"'Floating CONV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FCVT_W_S","1100000_00000_?????_???_?????_10100","fcvt.w.s $d, $1, $r","x",1,"I",1,"F",0,"x",0,"x","FPU","x","x","x","x","F2I",0,"RS1","x","x","NEVER",1,"FPU",0,0,0,0,"x","x","x","x",0,0,0,0
